,nInd,nLoc,Missing loci,Missing loci (%),Ho,HoSE,Hs,HsSE,Fis,FisSE
Dorrigo,26,259,129,33.25,0.08,0.01,0.09,0.01,0.12,0.02
Kerewong,17,255,133,34.28,0.12,0.01,0.17,0.01,0.27,0.03
NthBarrington,2,345,43,11.08,0.05,0.01,0.09,0.01,0.28,0.08
Broadwater,18,620,337,35.21,0.03,0.00,0.04,0.00,0.14,0.03
Cumberland,12,738,219,22.88,0.06,0.00,0.09,0.01,0.21,0.02
Dampier,22,562,395,41.27,0.06,0.00,0.09,0.01,0.29,0.02
MaresForest,22,644,313,32.71,0.06,0.00,0.07,0.01,0.17,0.02
MtWilson,18,447,510,53.29,0.05,0.00,0.08,0.00,0.23,0.02
Olney,19,538,419,43.78,0.06,0.00,0.09,0.01,0.24,0.02
SthBarrington,5,832,125,13.06,0.05,0.00,0.05,0.00,0.08,0.03
Termeil,20,587,370,38.66,0.06,0.00,0.10,0.01,0.28,0.02